Date,Close,Open,Sentiment
2014-06-11,4164.08,4147.31,0
2014-07-11,4160.5,4170.46,0
2014-10-11,4175.95,4162.59,0
2014-11-11,4187.16,4173.61,0
2014-12-11,4195.4,4174.47,0
2014-13-11,4213.49,4202.77,0
2014-14-11,4224.99,4214.97,0
2014-17-11,4213.79,4215.29,0
2014-18-11,4242.19,4215.18,0
2014-19-11,4222.66,4233.7,0
2014-20-11,4242.09,4204.54,0
2014-21-11,4251.32,4284.41,0
2014-24-11,4284.32,4262.09,0
2014-25-11,4288.23,4290.68,0
2014-26-11,4317.99,4291.87,0
2014-27-11,4317.99,0,0
2014-28-11,4337.78,4330.96,0
2014-01-12,4287.81,4323.95,0
2014-02-12,4305.96,4291.33,0
2014-03-12,4312.93,4312.17,0
2014-04-12,4311.93,4309.48,0
2014-05-12,4311.57,4318.28,0
2014-08-12,4278.34,4301.27,0
2014-09-12,4294.67,4228.2,0
2014-10-12,4224.87,4284.5,0
2014-11-12,4246.48,4241.69,0
2014-12-12,4199.28,4207.61,0
2014-15-12,4157.41,4224.17,0
2014-16-12,4089.6,4122.23,0
2014-17-12,4165.1,4095.75,0
2014-18-12,4267.77,4230.36,0
2014-19-12,4281.78,4272.75,0
2014-22-12,4293.67,4271.87,0
2014-23-12,4279.3,4308.95,0
2014-24-12,4283.1,4283.19,0
2014-25-12,4283.1,0,0
2014-26-12,4314.09,4295.72,0
2014-29-12,4312.64,4309.7,0
2014-30-12,4282.35,4301.14,0
2014-31-12,4236.28,4294.88,0
2015-01-01,4236.28,0,0
2015-02-01,4230.24,4258.6,0
2015-05-01,4160.96,4206.55,0
2015-06-01,4110.83,4174.78,0
2015-07-01,4160,4139.85,0
2015-08-01,4240.55,4195.49,0
2015-09-01,4213.28,4250.98,0
2015-12-01,4169.97,4221.52,0
2015-13-01,4166.2,4212.99,0
2015-14-01,4145.84,4122.08,0
2015-15-01,4089.65,4162.11,0
2015-16-01,4142.14,4087.88,0
2015-19-01,4142.14,0,0
2015-20-01,4171.21,4164.43,0
2015-21-01,4192.09,4158.13,0
2015-22-01,4270.36,4215,0
2015-23-01,4278.14,4268.53,0
2015-26-01,4275.72,4271.1,0
2015-27-01,4165.5,4200.88,0
2015-28-01,4140.38,4233.74,0
2015-29-01,4181.35,4134.52,0
2015-30-01,4148.43,4178.62,0
2015-02-02,4188.59,4162.2,0
2015-03-02,4229.15,4201.94,0
2015-04-02,4221.2,4202.43,0
2015-05-02,4256.18,4229.62,0
2015-06-02,4228.68,4259.98,0
2015-09-02,4216.09,4209.81,0
2015-10-02,4281.15,4240.04,0
2015-11-02,4297.28,4284.76,0
2015-12-02,4347.97,4321.41,0
2015-13-02,4384.03,4359.78,0
2015-16-02,4384.03,0,0
2015-17-02,4385.34,4379.32,0
2015-18-02,4390.91,4378.73,0
2015-19-02,4411.86,4388.92,0
2015-20-02,4443.05,4406.75,0
2015-23-02,4449.49,4441.26,0
2015-24-02,4451.03,4442.13,0
2015-25-02,4440.59,4441.08,0
2015-26-02,4462.27,4443.55,0
2015-27-02,4440.67,4459.86,0
2015-02-03,4483.05,4452.8,0
2015-03-03,4458.78,4466.53,0
2015-04-03,4445.36,4442.41,0
2015-05-03,4452.06,4454.89,0
2015-06-03,4399.23,4442.19,0
2015-09-03,4412.99,4406.87,0
2015-10-03,4329.08,4376.03,0
2015-11-03,4305.38,4336.05,0
2015-12-03,4336.23,4302.73,0
2015-13-03,4314.9,4328.09,0
2015-16-03,4370.47,4338.29,0
2015-17-03,4375.63,4355.83,0
2015-18-03,4422.5,4366.8,0
2015-19-03,4426.82,4424.79,0
2015-20-03,4458.54,4468.29,0
2015-23-03,4445.54,4454.15,0
2015-24-03,4430.99,4444.39,0
2015-25-03,4329.29,4437.37,0
2015-26-03,4315.26,4288.16,0
2015-27-03,4332.86,4314.6,0
2015-30-03,4382.82,4359.78,0
2015-31-03,4333.69,4364.14,0
2015-01-04,4311.26,4328.17,0
2015-02-04,4316.01,4316.24,0
2015-03-04,4316.01,0,0
2015-06-04,4350.98,4286.16,0
2015-07-04,4344.08,4349.3,0
2015-08-04,4375.96,4345.22,0
2015-09-04,4403.95,4375.78,0
2015-10-04,4422.02,4402.02,0
2015-13-04,4409.21,4428.13,0
2015-14-04,4397.64,4409.29,0
2015-15-04,4424.53,4409.74,0
2015-16-04,4418.83,4412.15,0
2015-17-04,4351.8,4379.63,0
2015-20-04,4417.4,4373.65,0
2015-21-04,4435.98,4444.5,0
2015-22-04,4460.81,4448.58,0
2015-23-04,4477.07,4445.17,0
2015-24-04,4536.78,4529.73,0
2015-27-04,4525.04,4548.51,0
2015-28-04,4515.27,4529.41,0
2015-29-04,4488.15,4490.57,0
2015-30-04,4414.25,4459.23,0
2015-01-05,4479.06,4437.7,0
2015-04-05,4482.61,4491.19,0
2015-05-05,4409.39,4464.21,0
2015-06-05,4379.75,4420.3,0
2015-07-05,4401.55,4377.81,0
2015-08-05,4458.65,4445,0
2015-11-05,4438.64,4457.62,0
2015-12-05,4420.65,4412.82,0
2015-13-05,4426.56,4436.08,0
2015-14-05,4495.04,4461.07,0
2015-15-05,4494.29,4505.39,0
2015-18-05,4512.95,4487.14,0
2015-19-05,4503.72,4514.66,0
2015-20-05,4505.3,4505.59,0
2015-21-05,4529.47,4499.42,0
2015-22-05,4527.16,4522.86,0
2015-25-05,4527.16,0,0
2015-26-05,4472.96,4516.63,0
2015-27-05,4546.06,4488.05,0
2015-28-05,4535.66,4537.48,0
2015-29-05,4508.25,4532.15,0
2015-01-06,4521.85,4530.03,0
2015-02-06,4508.89,4503.76,0
2015-03-06,4519.86,4531.04,0
2015-04-06,4487.03,4501.73,0
2015-05-06,4477.19,4483.43,0
2015-08-06,4431.51,4476.69,0
2015-09-06,4427.61,4421.02,0
